approach,model,accuracy,f1_score,confusion_matrix_file
1.Feat_Gen_advanced,knn,0.5903299783411899,0.5858784116724505,cm_knn_1.Feat_Gen_advanced.png
2.Prep_statistical_onehot,knn,0.6138998598547586,0.6105319753263398,cm_knn_2.Prep_statistical_onehot.png
2.Prep_statistical_semantic_parents_only,knn,0.6098706841635877,0.6066251109308701,cm_knn_2.Prep_statistical_semantic_parents_only.png
2.Prep_statistical_semantic_leaves_only,knn,0.6096636514205631,0.6063952259715638,cm_knn_2.Prep_statistical_semantic_leaves_only.png
2.Prep_constant_onehot,knn,0.6137565294942031,0.6104001349876037,cm_knn_2.Prep_constant_onehot.png
3.Outliers_skip,knn,0.6138998598547586,0.6105319753263398,cm_knn_3.Outliers_skip.png
4.Scaling_skip,knn,0.6138998598547586,0.6105319753263398,cm_knn_4.Scaling_skip.png
4.Scaling_standardization,knn,0.6153809402471653,0.6127985573795691,cm_knn_4.Scaling_standardization.png
4.Scaling_normalization,knn,0.6027519429226653,0.5982339083204941,cm_knn_4.Scaling_normalization.png
4.Scaling_robust,knn,0.6168142438527201,0.6137743428612115,cm_knn_4.Scaling_robust.png
4.Scaling_power,knn,0.6157472289463626,0.6130755213012226,cm_knn_4.Scaling_power.png
5.Balancing_skip,knn,0.6168142438527201,0.6137743428612115,cm_knn_5.Balancing_skip.png
5.Balancing_smote,knn,0.6157153777551281,0.6131313837802611,cm_knn_5.Balancing_smote.png
5.Balancing_oversampling,knn,0.609138106765193,0.6089665363712521,cm_knn_5.Balancing_oversampling.png
5.Balancing_undersampling,knn,0.6226111606574086,0.618511873598759,cm_knn_5.Balancing_undersampling.png
6.Feat_Sel_skip,knn,0.6226111606574086,0.618511873598759,cm_knn_6.Feat_Sel_skip.png
6.Feat_Sel_low_variance_1.0,knn,0.5618390877818831,0.40557583116527346,cm_knn_6.Feat_Sel_low_variance_1.0.png
6.Feat_Sel_redundancy_0.5,knn,0.6209548987132119,0.5956050832900667,cm_knn_6.Feat_Sel_redundancy_0.5.png
6.Feat_Sel_redundancy_0.75,knn,0.6189004968785833,0.6134657088906061,cm_knn_6.Feat_Sel_redundancy_0.75.png
6.Feat_Sel_redundancy_0.9,knn,0.6179927379283985,0.6126349430732377,cm_knn_6.Feat_Sel_redundancy_0.9.png
6.Feat_Sel_kbest_15,knn,0.592241049815263,0.49142904226811074,cm_knn_6.Feat_Sel_kbest_15.png
6.Feat_Sel_kbest_25,knn,0.6156676009682762,0.5536966041636125,cm_knn_6.Feat_Sel_kbest_25.png
6.Feat_Sel_kbest_35,knn,0.6266562619441967,0.6205341919485122,cm_knn_6.Feat_Sel_kbest_35.png
1.Feat_Gen_advanced,nb,0.6363549496751179,0.6063934054073884,cm_nb_1.Feat_Gen_advanced.png
2.Prep_statistical_onehot,nb,0.6393967384380176,0.6151474463452935,cm_nb_2.Prep_statistical_onehot.png
2.Prep_statistical_semantic_parents_only,nb,0.6371193782647471,0.6118591908946779,cm_nb_2.Prep_statistical_semantic_parents_only.png
2.Prep_statistical_semantic_leaves_only,nb,0.6371193782647471,0.6118591908946779,cm_nb_2.Prep_statistical_semantic_leaves_only.png
2.Prep_constant_onehot,nb,0.6386960122308575,0.6150469948872437,cm_nb_2.Prep_constant_onehot.png
3.Outliers_skip,nb,0.6393967384380176,0.6151474463452935,cm_nb_3.Outliers_skip.png
4.Scaling_skip,nb,0.6393967384380176,0.6151474463452935,cm_nb_4.Scaling_skip.png
4.Scaling_standardization,nb,0.6393967384380176,0.6151474463452935,cm_nb_4.Scaling_standardization.png
4.Scaling_normalization,nb,0.6393967384380176,0.6151474463452935,cm_nb_4.Scaling_normalization.png
4.Scaling_robust,nb,0.6393967384380176,0.6151474463452935,cm_nb_4.Scaling_robust.png
4.Scaling_power,nb,0.6385367562746846,0.6143137768169312,cm_nb_4.Scaling_power.png
5.Balancing_skip,nb,0.6393967384380176,0.6151474463452935,cm_nb_5.Balancing_skip.png
5.Balancing_smote,nb,0.6395719199898077,0.6161829831201249,cm_nb_5.Balancing_smote.png
5.Balancing_oversampling,nb,0.6393330360555485,0.6158702437040512,cm_nb_5.Balancing_oversampling.png
5.Balancing_undersampling,nb,0.6392056312906103,0.6153963971139584,cm_nb_5.Balancing_undersampling.png
6.Feat_Sel_skip,nb,0.6395559943941903,0.6158113979555465,cm_nb_6.Feat_Sel_skip.png
6.Feat_Sel_redundancy_0.5,nb,0.6306376608485157,0.6122016537281496,cm_nb_6.Feat_Sel_redundancy_0.5.png
6.Feat_Sel_redundancy_0.75,nb,0.6393171104599312,0.6172208452217489,cm_nb_6.Feat_Sel_redundancy_0.75.png
6.Feat_Sel_redundancy_0.9,nb,0.6382023187667218,0.6153933323606545,cm_nb_6.Feat_Sel_redundancy_0.9.png
6.Feat_Sel_kbest_15,nb,0.6397948783284495,0.5986999357107221,cm_nb_6.Feat_Sel_kbest_15.png
6.Feat_Sel_kbest_25,nb,0.6399700598802395,0.6110695388899174,cm_nb_6.Feat_Sel_kbest_25.png
6.Feat_Sel_kbest_35,nb,0.6414192890814117,0.6157924985489623,cm_nb_6.Feat_Sel_kbest_35.png
